Date: 2026-02-17 12:44 | Change: Delete ARCHITECTURE.md
Date: 2025-12-09 17:28 | Change: Merge branch 'main' of https://github.com/MechanicsDSL/mechanicsdsl
Date: 2025-12-09 17:28 | Change: Add comprehensive unit tests for analysis, io, utils, visualization, modules
Date: 2025-12-09 15:26 | Change: Update sonarcloud-analysis.yml
Date: 2025-12-09 15:25 | Change: Update sonarcloud-analysis.yml
Date: 2025-12-09 15:23 | Change: Update sonarcloud-analysis.yml
Date: 2025-12-09 15:19 | Change: Update sonarcloud-analysis.yml (#17)
Date: 2025-12-09 15:16 | Change: Update sonarcloud-analysis.yml
Date: 2025-12-09 15:14 | Change: Update sonarcloud-analysis.yml
Date: 2025-12-09 14:55 | Change: Update sonarcloud-analysis.yml
Date: 2025-12-09 14:51 | Change: Create sonarcloud-analysis.yml
Date: 2025-12-09 14:44 | Change: Update README.md
Date: 2025-12-09 14:44 | Change: Update README.md
Date: 2025-12-09 14:36 | Change: Update README.md
Date: 2025-12-09 14:34 | Change: Update README.md
Date: 2025-12-09 14:21 | Change: Update python-app.yml
Date: 2025-12-09 14:15 | Change: Update python-app.yml
Date: 2025-12-09 14:11 | Change: Update python-app.yml
Date: 2025-12-09 14:10 | Change: Update README.md
Date: 2025-12-09 14:07 | Change: Update README.md
Date: 2025-12-09 13:48 | Change: Update python-app.yml (#16)
Date: 2025-12-09 13:46 | Change: Update python-app.yml
Date: 2025-12-09 13:45 | Change: Update python-app.yml (#15)
Date: 2025-12-09 13:38 | Change: Update python-app.yml
Date: 2025-12-09 13:34 | Change: Update python-app.yml
Date: 2025-12-09 13:33 | Change: Update python-app.yml
Date: 2025-12-09 13:18 | Change: Update README.md
Date: 2025-12-09 13:15 | Change: Update README.md
Date: 2025-12-09 13:14 | Change: Update README.md
Date: 2025-12-09 13:13 | Change: Update README.md
Date: 2025-12-09 13:12 | Change: Update README.md
Date: 2025-12-08 13:07 | Change: Update index.html
Date: 2025-12-08 13:05 | Change: Update index.html
Date: 2025-12-08 12:18 | Change: Update README.md
Date: 2025-12-08 12:15 | Change: Delete src/mechanics_dsl/rigidbody.py
Date: 2025-12-08 11:55 | Change: Update app.js
Date: 2025-12-08 09:57 | Change: Add files via upload
Date: 2025-12-08 09:19 | Change: Delete web-demo/index.html
Date: 2025-12-07 18:37 | Change: fix: Make numba optional for Pyodide/WebAssembly compatibility
Date: 2025-12-07 18:03 | Change: feat: Integrate real mechanicsdsl-core package from PyPI in web demo
Date: 2025-12-07 18:02 | Change: Update __init__.py
Date: 2025-12-07 18:00 | Change: chore: Bump version to 1.3.0 for release
Date: 2025-12-07 17:56 | Change: feat: Update info display to show Python energy/error
Date: 2025-12-07 17:56 | Change: feat: Add Pyodide integration for real Python/SciPy physics
Date: 2025-12-07 17:49 | Change: perf: Upgrade double pendulum to RK4 integrator for better energy conservation
Date: 2025-12-07 17:45 | Change: fix: Add null checks to prevent JS errors
Date: 2025-12-07 17:43 | Change: fix: Fix paths for GitHub Pages and remove workflow path filter
Date: 2025-12-07 17:39 | Change: feat: Add advanced web demo features
Date: 2025-12-07 17:27 | Change: feat: Add interactive web demo
Date: 2025-12-07 17:18 | Change: ci: Add GitHub Pages deployment workflow
Date: 2025-12-06 20:14 | Change: v1.2.3: Add HamiltonJacobi.solve() method
Date: 2025-12-07 17:06 | Change: Update index.rst
Date: 2025-12-07 16:59 | Change: v1.3.0: Add quaternions, Numba, CUDA, OpenMP, WASM, Arduino backends + 73 tests
Date: 2025-12-06 20:06 | Change: Update CHANGELOG.md
Date: 2025-12-06 20:04 | Change: Draft new release
Date: 2025-12-06 19:59 | Change: Update 03_simple_pendulum.ipynb
Date: 2025-12-06 19:58 | Change: Update 02_harmonic_oscillator.ipynb
Date: 2025-12-06 19:56 | Change: Update 01_getting_started.ipynb
Date: 2025-12-06 19:54 | Change: Update 01_getting_started.ipynb
Date: 2025-12-06 19:28 | Change: Update README.md
Date: 2025-12-06 19:25 | Change: Add comprehensive test suite - 534 passing tests
Date: 2025-12-06 18:46 | Change: Update README.md
Date: 2025-12-06 18:35 | Change: docs: Add comprehensive documentation for all 17 classical mechanics modules
Date: 2025-12-06 18:19 | Change: feat(classical): Complete classical mechanics domain with 17 modules
Date: 2025-12-06 11:23 | Change: Add 30 Jupyter notebooks and 5 new code generators (Julia, Rust, MATLAB, Fortran, JavaScript)
Date: 2025-12-05 20:25 | Change: refactor: Reorganize docs, tests, and examples into subfolders
Date: 2025-12-05 20:14 | Change: Merge branch 'main' of https://github.com/MechanicsDSL/mechanicsdsl
Date: 2025-12-05 20:10 | Change: docs: Expand documentation with codegen, architecture, and advanced topics
Date: 2025-12-05 20:00 | Change: Update README.md
Date: 2025-12-05 20:00 | Change: Update README.md
Date: 2025-12-05 19:59 | Change: Update README.md
Date: 2025-12-05 19:57 | Change: Update README.md
Date: 2025-12-05 19:56 | Change: Resolve merge conflict: keep improved README
Date: 2025-12-05 19:52 | Change: feat: Expand examples to 30 tutorials with fluid dynamics and celestial mechanics
Date: 2025-12-05 19:25 | Change: Update README.md
Date: 2025-12-05 19:25 | Change: Update README.md
Date: 2025-12-05 19:06 | Change: Add: MechanicsDSL logo for documentation
Date: 2025-12-05 18:54 | Change: Fix: Add animate method to Animator for backward compatibility
Date: 2025-12-05 18:46 | Change: Fix: Use correct Config attribute names in Animator
Date: 2025-12-05 17:56 | Change: Refactor: Modular package structure with comprehensive documentation
